run, run, UInt_t, single
Flag_CSCTightHaloTrkMuUnvetoFilter, metfilter, Bool_t, single
Flag_globalTightHalo2016Filter, metfilter, Bool_t, single
Flag_globalSuperTightHalo2016Filter, metfilter, Bool_t, single
Flag_HcalStripHaloFilter, metfilter, Bool_t, single
Flag_hcalLaserEventFilter, metfilter, Bool_t, single
Flag_EcalDeadCellTriggerPrimitiveFilter, metfilter, Bool_t, single
Flag_EcalDeadCellBoundaryEnergyFilter, metfilter, Bool_t, single
Flag_ecalBadCalibFilter, metfilter, Bool_t, single
Flag_goodVertices, metfilter, Bool_t, single
Flag_eeBadScFilter, metfilter, Bool_t, single
Flag_ecalLaserCorrFilter, metfilter, Bool_t, single
Flag_trkPOGFilters, metfilter, Bool_t, single
Flag_chargedHadronTrackResolutionFilter, metfilter, Bool_t, single
Flag_muonBadTrackFilter, metfilter, Bool_t, single
Flag_BadChargedCandidateFilter, metfilter, Bool_t, single
Flag_BadPFMuonFilter, metfilter, Bool_t, single
Flag_BadPFMuonDzFilter, metfilter, Bool_t, single
Flag_hfNoisyHitsFilter, metfilter, Bool_t, single
Flag_BadChargedCandidateSummer16Filter, metfilter, Bool_t, single
Flag_BadPFMuonSummer16Filter, metfilter, Bool_t, single
Flag_trkPOG_manystripclus53X, metfilter, Bool_t, single
Flag_trkPOG_toomanystripclus53X, metfilter, Bool_t, single
Flag_trkPOG_logErrorTooManyClusters, metfilter, Bool_t, single
Flag_CSCTightHalo2015Filter, metfilter, Bool_t, single
PV_ndof, PV, Float_t, single
PV_x, PV, Float_t, single
PV_y, PV, Float_t, single
PV_z, PV, Float_t, single
PV_chi2, PV, Float_t, single
PV_score, PV, Float_t, single
PV_npvs, PV, UChar_t, single
PV_npvsGood, PV, UChar_t, single
Pileup_nTrueInt, Pileup, Float_t, single
